Diathesis,प्रवृत्ति,प्रवृत्ति,प्रवृत्तिः
Diazepam,डायजेपाम,डायझेपॅम,डायजेपामम्
Dichromatic,द्विवर्णक,द्विवर्णी,द्विवर्णकः
Dicoumarol,डाइकूमेरॉल,डायकूमरॉल,डाइकूमेरॉलम्
Dicrotism,द्विस्पंद,द्विस्पंद,द्विस्पन्दः
Diet,आहार,आहार,आहारः
Diet sheet,आहार पत्र,आहार पत्रक,आहार पत्रम्
Dietary,आहारीय,आहारीय,आहारीयः
Dietary fibre,आहार रेशा,आहारीय तंतु,आहार रेशा
Dietetic,आहार विज्ञान संबंधी,आहारशास्त्रीय,आहार विज्ञान सम्बन्धी
Dietetic principles,आहार सिद्धांत,आहार तत्त्वे,आहार सिद्धान्तः
Dietetics,आहार विज्ञान,आहारशास्त्र,आहार विज्ञानम्
Dietician,आहार विशेषज्ञ,आहार तज्ज्ञ,आहार विशेषज्ञः
Differential blood count,विभेदक रक्त गणना,विभेदक रक्त गणना,विभेदक रक्त गणना
Differential diagnosis,विभेदक निदान,विभेदक निदान,विभेदक निदानम्
Differential white cell count,विभेदक श्वेत कोशिका गणना,विभेदक श्वेत पेशी गणना,विभेदक श्वेत कोशिका गणना
Differentiation,विभेदन,विभेदन,विभेदनम्
Diffuse,फैला हुआ,पसरलेला,विसृतः
Diffusion,विसरण,विसरण,विसरणम्
Digest,पचाना,पचवणे,पचितुम्
Digestant,पाचक,पाचक,पाचकः
Digestible,पचने योग्य,पचण्याजोगा,पाच्यः
Digestion,पाचन,पचन,पाचनम्
Digestive,पाचन संबंधी,पचनविषयक,पाचन सम्बन्धी
Digestive enzyme,पाचन एंजाइम,पाचक विकर,पाचन एन्जाइमः
Digestive juice,पाचक रस,पाचक रस,पाचक रसः
Digestive system,पाचन तंत्र,पचन संस्था,पाचन तन्त्रम्
Digestive tract,पाचन मार्ग,पचन मार्ग,पाचन मार्गः
Digestive tube,पाचन नली,पाचक नलिका,पाचन नली
Digit,अंगुलि,बोट,अङ्गुलिः
Digital,अंगुली संबंधी,बोट संबंधी,अङ्गुली सम्बन्धी
Digitalin,डिजिटेलिन,डिजिटॅलिन,डिजिटेलिनम्
Digitalis,डिजिटेलिस,डिजिटॅलिस,डिजिटेलिसम्
Digital palpation,अंगुली स्पर्शन,बोट स्पर्शन,अङ्गुली स्पर्शनम्
Digitoxin,डिजिटॉक्सिन,डिजिटॉक्सिन,डिजिटॉक्सिनम्
Dihydrocodeine tartrate,डाइहाइड्रोकोडीन टार्ट्रेट,डायहायड्रोकोडीन टार्ट्रेट,डाइहाइड्रोकोडीन टार्ट्रेटम्
Dilate,फैलाना,पसरवणे,विस्तारयितुम्
Dilatation,विस्तारण,विस्तारण,विस्तारणम्
Dilatation and curettage,विस्तारण और उत्खनन,विस्तारण व उत्खनन,विस्तारण उत्खननम्
Dilator,विस्तारक,विस्तारक,विस्तारकः
Dilator pupillae muscle,पुतली विस्तारक पेशी,बाहुली विस्तारक स्नायु,पुतली विस्तारक पेशी
Diltiazem hydrochloride,डिल्टियाजेम हाइड्रोक्लोराइड,डिल्टियाझेम हायड्रोक्लोराईड,डिल्टियाजेम हाइड्रोक्लोराइडम्
Diluent,तनुकारक,पातळ करणारा,तनुकारकः
Dilute,तनु करना,पातळ करणे,तनुं कर्तुम्
Dilution,तनुकरण,तनुकरण,तनुकरणम्
Dimethyl phthalate,डाइमिथाइल थैलेट,डायमिथाईल थॅलेट,डाइमिथाइल थैलेटम्
Dimetria,द्विगर्भाशय,द्विगर्भाशय,द्विगर्भाशयम्
Dioctyl,डाइऑक्टिल,डायऑक्टिल,डाइऑक्टिलम्
Dioxide,द्विऑक्साइड,द्विऑक्साईड,द्विऑक्साइडम्
DIP abbr,समीप अंतर्पर्व संधि,समीप आंतरपर्व संधि,समीप अन्तर्पर्व सन्धिः
Dipeptidase,द्विपेप्टिडेज,द्विपेप्टिडेज,द्विपेप्टिडेजम्
Diphtheria,डिप्थीरिया,डिप्थीरिया,डिप्थीरिया
Diplegia,द्विपक्षाघात,द्विपक्षाघात,द्विपक्षाघातः
Diplegic,द्विपक्षाघाती,द्विपक्षाघाती,द्विपक्षाघाती
Diplo,द्विगुण,द्विगुण,द्विगुणः
Diplococcus,द्विगोलाणु,द्विगोलाणु,द्विगोलाणुः
Diploe,स्पंजी अस्थि परत,स्पंजी अस्थि स्तर,स्पञ्जी अस्थि परतः
Diploid,द्विगुणित,द्विगुणित,द्विगुणितः
Diplopia,द्विदृष्टि,द्विदृष्टि,द्विदृष्टिः
Dipsomania,मद्यपानोन्माद,मद्यपानोन्माद,मद्यपानोन्मादः
Direct contact,प्रत्यक्ष संपर्क,प्रत्यक्ष संपर्क,प्रत्यक्ष सम्पर्कः
Directions for use,उपयोग निर्देश,वापराच्या सूचना,उपयोग निर्देशः
Disability,अशक्तता,अपंगत्व,अशक्तता
Disable,अशक्त करना,अपंग करणे,अशक्तं कर्तुम्
Disabled,अशक्त,अपंग,अशक्तः
Disablement,अशक्तता,अपंगत्व,अशक्तता
Disabling disease,अशक्त करने वाला रोग,अपंग करणारा रोग,अशक्तकारी रोगः
Disarticulation,संधिच्छेदन,संधिच्छेदन,सन्धिच्छेदनम्
Disc,चक्रिका,चक्रिका,चक्रिका
Discharge,स्राव,स्राव,स्रावः
Discoloured,विवर्ण,रंग उडलेला,विवर्णः
Discomfort,असुविधा,अस्वस्थता,असुविधा
Discrete,पृथक,वेगळा,पृथक्
Discrete rash,पृथक दाने,वेगळे पुरळ,पृथक् विस्फोटः
Disease,रोग,रोग,रोगः
Disease carrier,रोग वाहक,रोग वाहक,रोग वाहकः
Diseased,रोगग्रस्त,रोगग्रस्त,रोगग्रस्तः
Disfigure,विकृत करना,विद्रूप करणे,विकृतं कर्तुम्
Disinfect,कीटाणुरहित करना,निर्जंतुकीकरण करणे,कीटाणुरहितं कर्तुम्
Disinfectant,कीटाणुनाशक,निर्जंतुकनाशक,कीटाणुनाशकः
Disinfection,कीटाणुशोधन,निर्जंतुकीकरण,कीटाणुशोधनम्
Disinfestation,परजीवीनाशन,परजीवी नाश,परजीवीनाशनम्
Disintegrate,विघटित करना,विघटन करणे,विघटितं कर्तुम्
Dislocate,विस्थापित करना,सांधा निखळणे,विस्थापितं कर्तुम्
Dislocation,विस्थापन,सांधा निखळणे,विस्थापनम्
Dismember,अंग काटना,अवयव कापणे,अङ्गं छेत्तुम्
Disorder,विकार,विकार,विकारः
Disorganised,अव्यवस्थित,अव्यवस्थित,अव्यवस्थितः
Disorientated,दिशाभ्रमित,दिशाभ्रमित,दिशाभ्रमितः
Disorientation,दिशाभ्रम,दिशाभ्रम,दिशाभ्रमः
Dispensary,औषधालय,औषधालय,औषधालयः
Dispense,वितरित करना,वितरण करणे,वितरितं कर्तुम्
Dispenser,वितरक,वितरक,वितरकः
Dispensing optician,चश्मा वितरक,चष्मा वितरक,चश्मा वितरकः
Displacement,विस्थापन,विस्थापन,विस्थापनम्
Disposition,स्वभाव,स्वभाव,स्वभावः
Disproportion,असंगति,विसंगति,असङ्गतिः
Dissect,विच्छेदन करना,विच्छेदन करणे,विच्छेत्तुम्
Dissecting aneurysm,विच्छेदी धमनीविस्फार,विच्छेदी धमनीविस्फार,विच्छेदी धमनीविस्फारः
Dissection,विच्छेदन,विच्छेदन,विच्छेदनम्
Disseminated,प्रसारित,प्रसारित,प्रसारितः
Disseminated intravascular coagulation,प्रसारित अंतःवाहिनी जमाव,प्रसारित अंतर्वाहिनी गोठण,प्रसारित अन्तर्वाहिनी जमावः
Disseminated sclerosis,प्रसारित काठिन्य,प्रसारित काठिण्य,प्रसारित काठिन्यम्
Dissociation,पृथक्करण,पृथक्करण,पृथक्करणम्
Dissociative disorder,पृथक्कारी विकार,पृथक्कारी विकार,पृथक्कारी विकारः
Dissolve,घोलना,विरघळणे,द्रावयितुम्
Distal,दूरस्थ,दूरस्थ,दूरस्थः
Distal convoluted tubule,दूरस्थ कुंडलित नलिका,दूरस्थ कुंडलित नलिका,दूरस्थ कुण्डलित नलिका
Distalgesia,दूरस्थ पीड़ा,दूरस्थ वेदना,दूरस्थ पीडा
Distally,दूरस्थ रूप से,दूरस्थपणे,दूरस्थतः
Distal phalange,दूरस्थ अंगुलिका,दूरस्थ अंगुलिका,दूरस्थ अङ्गुलिका
Distended,फैला हुआ,फुगलेला,विस्तीर्णः
Distended bladder,फैला हुआ मूत्राशय,फुगलेले मूत्राशय,विस्तीर्ण मूत्राशयः
Distension,फैलाव,फुगवटा,विस्तारः
Distichiasis,दोहरी पलकें,दोहरी पापण्या,द्विपक्ष्मता
Distil,आसवन करना,ऊर्ध्वपातन करणे,आसवनं कर्तुम्
Distillation,आसवन,ऊर्ध्वपातन,आसवनम्
Distort,विकृत करना,विकृत करणे,विकृतं कर्तुम्
Distortion,विकृति,विकृति,विकृतिः
Distraction,ध्यान भंग,लक्ष भंग,ध्यान भङ्गः
Distress,व्यथा,व्यथा,व्यथा
District general hospital,जिला सामान्य अस्पताल,जिल्हा सामान्य रुग्णालय,जिला सामान्य चिकित्सालयः
District nurse,जिला परिचारिका,जिल्हा परिचारिका,जिला परिचारिका
Disturb,विक्षुब्ध करना,त्रास देणे,विक्षुब्धं कर्तुम्
Disturbed,विक्षुब्ध,अस्वस्थ,विक्षुब्धः
Disulfiram,डाइसल्फिरम,डायसल्फिरॅम,डाइसल्फिरमम्
Dithranol,डिथ्रानॉल,डिथ्रॅनॉल,डिथ्रानॉलम्
Diuresis,बहुमूत्रता,मूत्रवृद्धि,बहुमूत्रता
Diuretic,मूत्रल,मूत्रवर्धक,मूत्रलः
Diurnal,दैनिक,दैनिक,दैनिकः
Divarication,विपर्यास,विपर्यास,विपर्यासः
Divergent strabismus,अपसारी तिर्यकदृष्टि,बाहेर पडणारा भेंगेपणा,अपसारी तिर्यकदृष्टिः
Diverticula,विपुटक,विपुटक,विपुटकम्
Diverticulitis,विपुटकशोथ,विपुटकशोथ,विपुटकशोथः
Diverticulosis,विपुटकता,विपुटकता,विपुटकता
Diverticulum,विपुटक,विपुटक,विपुटकम्
Division,विभाजन,विभाजन,विभाजनम्
Divisor,विभाजक,विभाजक,विभाजकः
Dizygotic,द्विअंडजी,द्विअंडजी,द्वि-अण्डजः
Dizygotic twins,द्विअंडजी जुड़वां,द्विअंडजी जुळे,द्वि-अण्डजी यमलौ
Dizziness,चक्कर,चक्कर,भ्रमः
Dizzy,चक्कर आना,चक्कर येणे,भ्रमः
DLE abbr,चर्म ल्यूपस,चर्मीय ल्यूपस,चर्म ल्यूपसः
DMD abbr,आंतरिक चिकित्सा विद्यार्थी,आंतरिक चिकित्सा विद्यार्थी,आन्तरिक चिकित्सा विद्यार्थी
DNA,डीएनए,डीएनए,डीएनए
DNA fingerprinting,डीएनए अंगुली छाप,डीएनए अंगुलीछाप,डीएनए अङ्गुली छापः
DNR abbr,पुनर्जीवन नहीं,पुनर्जीवन नको,पुनर्जीवनं न
DOA abbr,आगमन पर मृत,आगमनावेळी मृत,आगमने मृतः
Dobutamine,डोब्यूटामीन,डोब्युटामाईन,डोब्यूटामीनम्
Doctor,चिकित्सक,डॉक्टर,चिकित्सकः
Doctor-assisted suicide,चिकित्सक सहायक आत्महत्या,चिकित्सक साहाय्यकृत आत्महत्या,चिकित्सक साहाय्यकृत आत्महत्या
Doderleins bacillus,डोडरलीन जीवाणु,डोडरलीन जीवाणु,डोडरलीन जीवाणुः
Dolicho,दीर्घ,दीर्घ,दीर्घः
Dolichocephaly,दीर्घशीर्षता,दीर्घशीर्षता,दीर्घशीर्षता
Dolichocephalic,दीर्घशीर्ष,दीर्घशीर्ष,दीर्घशीर्षः
Dolor,पीड़ा,वेदना,पीडा
Domiciliary,घरेलू,घरगुती,गृहस्थः
Domiciliary care,घरेलू देखभाल,घरगुती काळजी,गृहस्थ परिचर्या
Domiciliary midwife,घरेलू धात्री,घरगुती सुईणबाई,गृहस्थ धात्री
Domiciliary services,घरेलू सेवाएं,घरगुती सेवा,गृहस्थ सेवाः
Dominance,प्रभुत्व,प्रभुत्व,प्रभुत्वम्
Dominant,प्रबल,प्रबल,प्रबलः
Donation,दान,दान,दानम्
Donor,दाता,दाता,दाता
Donor booking,दाता बुकिंग,दाता बुकिंग,दाता बुकिङ्गः
Donor card,दाता कार्ड,दाता कार्ड,दाता कार्डम्
Donor insemination,दाता वीर्यसेचन,दाता शुक्राणु प्रवेशन,दाता वीर्यसेचनम्
Dopamine,डोपामीन,डोपामाईन,डोपामीनम्
Dopaminergic,डोपामीनर्जिक,डोपामिनर्जिक,डोपामीनर्जिकः
Dopa-responsive dystonia,डोपा संवेदी अपौष्टिकता,डोपा संवेदी अपौष्टिकता,डोपा संवेदी अपौष्टिकता
Doppler transducer,डॉप्लर ट्रांसड्यूसर,डॉपलर ट्रान्सड्यूसर,डॉप्लर ट्रान्सड्यूसरः
Doppler ultrasound,डॉप्लर अल्ट्रासाउंड,डॉपलर अल्ट्रासाऊंड,डॉप्लर अल्ट्रासाउण्डः
Dormant,सुप्त,सुप्त,सुप्तः
Dorsal,पृष्ठीय,पाठीचा,पृष्ठीयः
Dorsal vertebrae,पृष्ठीय कशेरुका,पाठीचे कशेरुका,पृष्ठीय कशेरुकाः
Dorsi,पृष्ठ,पाठ,पृष्ठम्
Dorsiflexion,पृष्ठनमन,पाठीकडे वाकणे,पृष्ठनमनम्
Dorso,पृष्ठ,पाठ,पृष्ठम्
Dorsoventral,पृष्ठोदर,पाठीपोट,पृष्ठोदरम्
Dorsum,पृष्ठ,पाठ,पृष्ठम्
Dosage,मात्रा,डोस,मात्रा
Dose,खुराक,डोस,मात्रा
Dosimeter,विकिरणमापी,विकिरणमापी,विकिरणमापी
Dosimetry,विकिरणमापन,विकिरणमापन,विकिरणमापनम्
Double-blind randomised controlled trial,द्वि-अंध यादृच्छिक नियंत्रित परीक्षण,द्वि-अंध यादृच्छिक नियंत्रित चाचणी,द्वि-अन्ध यादृच्छिक नियन्त्रित परीक्षणम्
Double-blind study,द्वि-अंध अध्ययन,द्वि-अंध अभ्यास,द्वि-अन्ध अध्ययनम्
Double-jointed,अति सुनम्य संधि,अति लवचिक सांधे,अति सुनम्य सन्धिः
Double pneumonia,द्वि फुफ्फुस शोथ,द्वि फुफ्फुस शोथ,द्वि फुप्फुस शोथः
Double uterus,द्वि गर्भाशय,दुहेरी गर्भाशय,द्वि गर्भाशयः
Double vision,द्विदृष्टि,दुहेरी दृष्टि,द्विदृष्टिः
Douche,धावन,धुवाई,धावनम्
Douglas bag,डगलस थैली,डग्लस पिशवी,डगलस थैली
Douglass pouch,डगलस पाउच,डग्लस पाऊच,डगलस पाउचः
Down below,नीचे,खाली,अधः
Down syndrome,डाउन सिंड्रोम,डाऊन सिंड्रोम,डाउन सिन्ड्रोमः
Downstairs,नीचे,खाली,अधः
Doxorubicin,डॉक्सोरुबिसिन,डॉक्सोरुबिसिन,डॉक्सोरुबिसिनम्
Doxycycline,डॉक्सीसाइक्लिन,डॉक्सिसायक्लिन,डॉक्सीसाइक्लिनम्
Dozy,सुस्त,झोपाळू,निद्रालुः
DPT abbr,डीपीटी,डीपीटी,डीपीटी
Drachm,ड्रैम,ड्रॅम,ड्रैमम्
Dracunculiasis,ड्रैकनकुलस रोग,ड्रॅकनकुलस रोग,ड्रैकनकुलस रोगः
Dracunculus,ड्रैकनकुलस,ड्रॅकनकुलस,ड्रैकनकुलसः
Dragee,लेपित गोली,लेपित गोळी,लेपित गोली
Drain,अपवाह नली,निचरा नळी,अपवाह नली
Drainage,अपवाह,निचरा,अपवाहः
Draw sheet,चादर खींचना,चादर ओढणे,चादरं आकर्षितुम्
Draw,खींचना,ओढणे,आकर्षितुम्
Drawn,खींचा हुआ,ओढलेला,आकृष्टः
Drepancyte,हंसिया कोशिका,हंसिया पेशी,हंसिया कोशिका
Drepanocytosis,हंसिया कोशिकारक्तता,हंसिया पेशी रक्तता,हंसिया कोशिकारक्तता
Dress,पट्टी बांधना,मलमपट्टी करणे,पट्टीं बन्धयितुम्
Dresser,शल्य सहायक,शल्यसहायक,शल्य सहायकः
Dressing,पट्टी,मलमपट्टी,पट्टी
Dribble,टपकना,गळणे,टपकितुम्
Dribbling,टपकना,गळणे,टपकनम्
Drill,बेधनी,वेधनी,वेधनी
Drinker respirator,ड्रिंकर श्वसनयंत्र,ड्रिंकर श्वसनयंत्र,ड्रिंकर श्वसनयन्त्रम्
Drip,ड्रिप,ड्रिप,ड्रिपम्
Drip feed,ड्रिप आहार,ड्रिप आहार,ड्रिप आहारः
Drop,बूंद,थेंब,बिन्दुः
Drops,बूंदें,थेंब,बिन्दवः
Drop attack,अचानक गिरना,अचानक पडणे,अचानक पतनम्
Droperidol,ड्रोपेरिडॉल,ड्रोपेरिडॉल,ड्रोपेरिडॉलम्
Drop foot,पदपतन,पदपतन,पदपतनम्
Droplet infection,बूंद संक्रमण,थेंब संसर्ग,बिन्दु संक्रमणम्
Drop off,गिरना,पडणे,पततितुम्
Dropper,ड्रॉपर,ड्रॉपर,ड्रॉपरम्
Dropsy,जलोदर,जलोदर,जलोदरम्
Drop wrist,कलाई पतन,मनगट पतन,कलाई पतनम्
Drown,डूबना,बुडणे,निमज्जितुम्
Drowning,डूबना,बुडणे,निमज्जनम्
Drowsiness,तंद्रा,तंद्रा,तन्द्रा
Drowsy,तंद्रालु,तंद्राळू,तन्द्रालुः
Drug,औषधि,औषध,औषधम्
Drug abuse,औषधि दुरुपयोग,औषध दुरुपयोग,औषधि दुरुपयोगः
Drug abuser,औषधि दुरुपयोगकर्ता,औषध दुरुपयोगकर्ता,औषधि दुरुपयोगकर्ता
Drug addict,औषधि व्यसनी,औषध व्यसनी,औषधि व्यसनी
Drug addiction,औषधि व्यसन,औषध व्यसन,औषधि व्यसनम्
Drug allergy,औषधि एलर्जी,औषध ऍलर्जी,औषधि एलर्जी
Drug dependence,औषधि निर्भरता,औषध निर्भरता,औषधि निर्भरता
Drug-related,औषधि संबंधी,औषध संबंधी,औषधि सम्बन्धी
Drug tolerance,औषधि सहनशीलता,औषध सहनशीलता,औषधि सहनशीलता
Drum,कर्णपटल,कर्णपटल,कर्णपटलम्
Drunk,नशे में,नशेत,मत्तः
Dry,शुष्क,कोरडा,शुष्कः
Dry dressing,शुष्क पट्टी,कोरडी मलमपट्टी,शुष्क पट्टी
Dry drowning,शुष्क डूबना,कोरडे बुडणे,शुष्क निमज्जनम्
Dry-eye syndrome,शुष्क नेत्र सिंड्रोम,कोरडे डोळे सिंड्रोम,शुष्क नेत्र सिन्ड्रोमः
Dry gangrene,शुष्क गैंग्रीन,कोरडा गँग्रीन,शुष्क गैंग्रीनम्
Dry mouth,शुष्क मुख,कोरडे तोंड,शुष्क मुखम्
Dryness,शुष्कता,कोरडेपणा,शुष्कता
Dry out,सुखाना,वाळवणे,शोषयितुम्
Dry socket,शुष्क सॉकेट,कोरडी सॉकेट,शुष्क सॉकेटम्
DTC abbr,निदान और उपचार केंद्र,निदान व उपचार केंद्र,निदान उपचार केन्द्रम्
DTR abbr,गहन टेनडन प्रतिवर्त,खोल टेंडन प्रतिक्षेप,गभीर टेन्डन प्रतिवर्तः
Dual diagnosis,द्वैत निदान,द्वैत निदान,द्वैत निदानम्
Duchenne muscular dystrophy,डुचेने पेशी दुष्पोषण,ड्युशेन स्नायु दुष्पोषण,डुशेने पेशी दुष्पोषणम्
Duct,वाहिनी,नलिका,वाहिनी
Duct gland,वाहिनीयुक्त ग्रंथि,नलिकायुक्त ग्रंथी,वाहिनीयुक्त ग्रन्थिः
Ductless,अवाहिनी,नलिकाविरहित,अवाहिनी
Ductless gland,अवाहिनी ग्रंथि,नलिकाविरहित ग्रंथी,अवाहिनी ग्रन्थिः
Ductule,लघु वाहिनी,लहान नलिका,लघु वाहिनी
Ductus,वाहिनी,नलिका,वाहिनी
Ductus arteriosus,धमनी वाहिनी,धमनी नलिका,धमनी वाहिनी
Ductus deferens,शुक्रवाहिनी,शुक्रवाहिनी,शुक्रवाहिनी
Ductus venosus,शिरा वाहिनी,शिरा नलिका,शिरा वाहिनी
Dull,मंद,मंद,मन्दः
Dull ache,मंद पीड़ा,मंद वेदना,मन्द पीडा
Dumb,गूंगा,मूक,मूकः
Dumbness,मूकता,मूकता,मूकता
Dumping syndrome,डंपिंग सिंड्रोम,डंपिंग सिंड्रोम,डम्पिङ्ग सिन्ड्रोमः
Duo,द्वि,द्वि,द्वि
Duoden,ग्रहणी,ग्रहणी,ग्रहणी
Duodenal,ग्रहणी संबंधी,ग्रहणी संबंधी,ग्रहणी सम्बन्धी
Duodenal papillae,ग्रहणी अंकुरक,ग्रहणी अंकुरक,ग्रहणी अङ्कुरकम्
Duodenal ulcer,ग्रहणी व्रण,ग्रहणी व्रण,ग्रहणी व्रणम्
Duodenoscope,ग्रहणी दर्शक,ग्रहणी दर्शक,ग्रहणी दर्शकः
Duodenostomy,ग्रहणी छिद्रीकरण,ग्रहणी छिद्रीकरण,ग्रहणी छिद्रीकरणम्
Duodenum,ग्रहणी,ग्रहणी,ग्रहणी
Duplex,द्वैत,द्वैत,द्वैतम्
Duplex imaging,द्वैत प्रतिबिंबन,द्वैत प्रतिबिंबन,द्वैत प्रतिबिम्बनम्
Dupuytren contracture,डुप्यूट्रेन संकुचन,ड्युप्युट्रेन आकुंचन,डुप्यूट्रेन सङ्कोचनम्
Dura,दृढतानिका,दृढतानिका,दृढतानिका
Dura mater,दृढतानिका,दृढतानिका,दृढतानिका
Duty,कर्तव्य,कर्तव्य,कर्तव्यम्
Duty nurse,ड्यूटी परिचारिका,ड्यूटी परिचारिका,ड्यूटी परिचारिका
Duty rota,ड्यूटी सूची,ड्यूटी यादी,ड्यूटी सूची
DVT abbr,गहरी शिरा घनास्रता,खोल शिरा घनास्रता,गभीर शिरा घनास्रता
Dwarf,बौना,बटू,वामनः
Dwarfism,बौनापन,बटूपणा,वामनत्वम्
Dynamic splint,गतिशील पट्टा,गतिशील पट्टा,गतिशील पट्टा
Dynamometer,बलमापी,बलमापी,बलमापी
Dynia,पीड़ा,वेदना,पीडा
Dys,कठिन,कठीण,कष्टः
Dysaesthesia,अनुभूति विकार,संवेदना विकार,अनुभूति विकारः
Dysarthria,वाक्कष्ट,वाक्कष्ट,वाक्कष्टम्
Dysarthrosis,संधिविकृति,संधिविकृति,सन्धिविकृतिः
Dysbasia,चालन कठिनता,चालन कठिनता,चालन कठिनता
Dyschondroplasia,उपास्थि अपविकास,उपास्थि अपविकास,उपास्थि अपविकासः
Dyschromatomimesis,वर्णविकृति,वर्णविकृति,वर्णविकृतिः
Dyschromatopsia,रंगदृष्टि दोष,रंगदृष्टि दोष,रङ्गदृष्टि दोषः
Dyscrasia,रक्तदोष,रक्तदोष,रक्तदोषः
Dysdiadochokinesia,क्रमगति विकृति,क्रमगति विकृति,क्रमगति विकृतिः
Dysentery,आंत्रशोथ,आंत्रशोथ,आन्त्रशोथः
Dysfunction,दुष्क्रिया,दुष्क्रिया,दुष्क्रिया
Dysfunctional,दुष्क्रियात्मक,दुष्क्रियात्मक,दुष्क्रियात्मकः
Dysfunctional uterine bleeding,दुष्क्रियात्मक गर्भाशय रक्तस्राव,दुष्क्रियात्मक गर्भाशय रक्तस्राव,दुष्क्रियात्मक गर्भाशय रक्तस्रावः
Dysgenesis,अपजनन,अपजनन,अपजननम्
Dysgerminoma,अपजननोमा,अपजननोमा,अपजननोमा
Dyskeratosis,कुशृंगीकरण,कुशृंगीकरण,कुशृङ्गीकरणम्
Dyskinesia,गतिविकृति,गतिविकृति,गतिविकृतिः
Dyslalia,वचन विकृति,वचन विकृति,वचन विकृतिः
Dyslexia,पठनविकृति,वाचनविकृति,पठनविकृतिः
Dyslexic,पठनविकृत,वाचनविकृत,पठनविकृतः
Dyslipidaemia,वसा विकार,वसा विकार,वसा विकारः
Dyslogia,वचन कठिनता,वचन कठिनता,वचन कठिनता
Dysmaturity,अपक्वता,अपक्वता,अपक्वता
Dysmenorrhoea,कष्टार्तव,कष्टार्तव,कष्टार्तवम्
Dysosmia,घ्राण विकृति,गंध विकृति,घ्राण विकृतिः
Dysostosis,अस्थिविकृति,अस्थिविकृति,अस्थिविकृतिः
Dyspareunia,संभोगकष्ट,संभोगकष्ट,संभोगकष्टम्
Dyspepsia,अपचन,अपचन,अपचनम्
Dyspeptic,अपचनी,अपचनी,अपचनी
Dysphagia,निगलनकष्ट,गिळण्याची अडचण,निगलनकष्टम्
Dysphasia,वाक्कष्ट,वाक्कष्ट,वाक्कष्टम्
Dysphemia,उच्चारण कष्ट,उच्चार कष्ट,उच्चारण कष्टम्
Dysphonia,स्वरकष्ट,स्वरकष्ट,स्वरकष्टम्
Dysplasia,अपविकास,अपविकास,अपविकासः
Dyspnoea,श्वासकष्ट,श्वासकष्ट,श्वासकष्टम्
Dyspnoeic,श्वासकष्टी,श्वासकष्टी,श्वासकष्टी
Dyspraxia,क्रिया विकार,क्रिया विकार,क्रिया विकारः
Dysrhythmia,तालविकृति,तालविकृति,तालविकृतिः
Dyssocial,असामाजिक,असामाजिक,असामाजिकः
Dyssynergia,असमन्वय,असमन्वय,असमन्वयः
Dystaxia,साम्यविकृति,समतोल विकृति,साम्यविकृतिः
Dystocia,कठिन प्रसव,कठीण प्रसूति,कठिन प्रसवः
Dystonia,पेशीविकृति,स्नायुविकृति,पेशीविकृतिः
Dystrophia,दुष्पोषण,दुष्पोषण,दुष्पोषणम्
Dystrophia adiposogenitalis,वसा जननांग दुष्पोषण,वसा जननांग दुष्पोषण,वसा जननाङ्ग दुष्पोषणम्
Dystrophia myotonica,पेशी अतिकर्षण दुष्पोषण,स्नायु अतिकर्षण दुष्पोषण,पेशी अतिकर्षण दुष्पोषणम्
Dystrophy,दुष्पोषण,दुष्पोषण,दुष्पोषणम्
Dysuria,मूत्रकष्ट,मूत्रकष्ट,मूत्रकष्टम्
Ear,कर्ण,कान,कर्णः
Ear Nose Throat,कान नाक गला,कान नाक घसा,कर्ण नासिका कण्ठः
Earache,कर्णशूल,कानदुखी,कर्णशूलः
Ear canal,कर्ण नाल,कान नलिका,कर्ण नालः
Eardrum,कर्णपटल,कर्णपटल,कर्णपटलम्
Early,प्रारंभिक,सुरुवातीचा,प्रारम्भिकः
Ear ossicle,कर्ण अस्थिका,कान हाडकी,कर्ण अस्थिका
Earwax,कर्णमल,कानाचा मळ,कर्णमलम्
Ease,आराम देना,आराम देणे,आरामं दातुम्
Eating disorder,भोजन विकार,खाण्याचा विकार,भोजन विकारः
Eating habits,भोजन आदतें,खाण्याच्या सवयी,भोजन आदतः
Ebola,इबोला,इबोला,इबोला
Eburnation,हाथी दांत जैसा,हस्तीदंती पांढरा,दन्तीवत्
Ebolic,गर्भपातक,गर्भपातक,गर्भपातकः
Ecchondroma,उपास्थि अर्बुद,उपास्थि अर्बुद,उपास्थि अर्बुदः
Ecchymosis,चर्मरक्तता,त्वचेखालील रक्तसंचय,चर्मरक्तता
Eccrine,बहिःस्रावी,बाह्य स्रावी,बहिःस्रावी
ECG abbr,ईसीजी,ईसीजी,ईसीजी
Echinococcosis,इकाइनोकोकस रोग,इकाइनोकोकस रोग,इकाइनोकोकस रोगः
Echinococcus,इकाइनोकोकस,इकाइनोकोकस,इकाइनोकोकसः
Echo,प्रतिध्वनि,प्रतिध्वनी,प्रतिध्वनिः
Echocardiogram,इको हृदयलेख,इको हृदयलेख,इको हृदयलेखः
Echocardiography,इको हृदयलेखन,इको हृदयलेखन,इको हृदयलेखनम्
Echoencephalography,इको मस्तिष्क लेखन,इको मस्तिष्क लेखन,इको मस्तिष्क लेखनम्
Echography,इको लेखन,इको लेखन,इको लेखनम्
Echokinesis,प्रतिध्वनि गति,प्रतिध्वनी गती,प्रतिध्वनि गतिः
